# filename='u/bio.u'
# filename='u/chimei.u'
# filename='u/computer.u'
# filename='u/jinmei.u'
# filename='u/kihon.u'
# filename='u/koyuu.u'
# filename='u/setsuji.u'
# filename='u/tankan.u'
# filename='u/supplement.u'
# filename='u/g-jinmei.u'
# filename='others.u'
々 のま
〆切 しめきり
# 〆切り
〆木 しめき
ヵ か が
# ヵ丘
# ヵ岡
# ヵ年
# ヵ月
ヶ か が け こ
# ヶ丘
# ヶ国
# ヶ岡
# ヶ年
# ヶ所
# ヶ月
# ヶ条
# ヶ谷
一 はじめ いち いっ ひと いつ いる まこと
一々 いちいち
# 一たん
# 一つ
# 一つかみ
# 一の宮
# 一の森
# 一の樹
# 一の瀬
# 一ひねり
# 一ツ橋
# 一ノ瀬
# 一丁
一三 かずみ いちぞう
# 一下
一世 かずとし
# 一両日
# 一丸
一久 かずひさ
一之 かずゆき
# 一之瀬
# 一乗寺
一也 かずや
# 一事
一二三 ひふみ
# 一井
一人 まさと ひとり かずひと かずと
# 一人っ子
# 一人ぼっち
# 一人前
一人占め ひとりじめ
一人暮らし ひとりぐらし
# 一人歩き
# 一人称
一仁 かずひと
# 一介
# 一仕事
一仙 かずのり
一代 かずよ
# 一代記
# 一件
# 一件落着
# 一任
一伊 かずただ
# 一休み
一伸 かずのぶ
# 一体
# 一体化
# 一体型
# 一体感
# 一体的
一作 いさく
# 一例
# 一個
# 一個人
# 一働き
# 一儲け
一元 かずもと かつもと
# 一元化
# 一元的
# 一党
一八 かずや
一兵 いつぺい
# 一円
# 一切
# 一切れ
# 一切合財
# 一利
# 一刻
一則 かずのり
一功 かずのり
# 一助
# 一区切り
# 一千
一博 かずひろ
# 一口
# 一台
一史 かずふみ
一司 かずし
# 一同
# 一向
# 一周
# 一周年
# 一味
# 一命
# 一品
一哉 かずや
# 一員
一哲 かつのり
# 一問一答
一喜 かずよし
# 一喝
一嘉 かずよし
# 一回
# 一回り
# 一回転
# 一因
# 一団
# 一国
# 一国家
一基 かずき
# 一堂
# 一報
# 一場
# 一塊
# 一声
一壽 かずひさ
一変 いっぺん
# 一夜
# 一大
# 一大事
# 一太刀
# 一太郎
一夫 かずお
一夫多妻 いっぷたさい
一央 かずや かずひさ
# 一失
# 一女
# 一妻多夫
# 一子
# 一子相伝
一孔 かずのり
# 一字
# 一字一句
一存 かずまさ
一孝 かずたか
一宇 かずいえ かずたか
# 一安心
一宏 かずひろ
# 一定
# 一定数
# 一定枠
# 一定量
# 一定額
一実 かずみ
# 一室
一宮 いちのみや
# 一家
# 一家言
一寛 かずひろ
# 一寝入り
# 一審
一寸 ちょっと
一寸木 ちょっき
一寸法師 いっすんぼうし
# 一対一
# 一対多
一寿 かずひさ かずとし
一尺八寸 かまつか
# 一層
# 一山
# 一岡
一岳 かずたか
# 一巡
# 一巡り
一己 かずみ
# 一巻
# 一席
# 一帯
# 一幕
一平 いっぺい
# 一年
一幸 かずゆき
一広 かずひろ
# 一度
# 一式
一弘 かずひろ
# 一張羅
一彦 かずひこ
一彰 かずあき
# 一役
# 一律
一徳 かずのり
# 一徹
# 一心
# 一心に
# 一心不乱
# 一心同体
一志 かずし
# 一応
一忠 かずただ
# 一念
# 一息
一恵 かずえ
# 一悶着
# 一意
# 一意的
一憲 かずのり
一成 かずなり かずしげ
# 一戦
一戸 いちのへ
一戸建て いっこだて
# 一所懸命
# 一手
# 一打ち
# 一投足
# 一抹
一拓 かずひろ
# 一括
# 一括登録
# 一挙
# 一挙一動
# 一挙手
# 一挙手一投足
# 一掃
# 一掴み
# 一揃い
一揆 いっき
# 一握り
# 一撃
一攫千金 いっかくせんきん
一政 かずまさ
一敏 かずとし
一文 かずふみ
# 一文字
一斉 かずなり
# 一斉に
# 一新
一方 いっぽう
# 一方ならず
# 一方ならぬ
# 一方的
# 一方通行
# 一旗
一日 ついたち
# 一日中
# 一旦
一早枝 いさえ
一明 かずあき
# 一昔
# 一昨
一昨年 おととし
一昨日 おととい おとつい
# 一昼夜
# 一時
# 一時代
# 一時期
# 一時的
一晃 かずあき
# 一晩
# 一晩中
一晴 かずはる
一暁 かずあき
# 一月
一服 いっぷく
一朗 かずあき
# 一望
# 一朝一夕
# 一期
# 一木
# 一本
# 一本化
# 一本松
# 一杉
# 一村
# 一条
# 一条寺
# 一杯
一松 ひとつまつ
# 一枚
# 一枚岩
一枝 かずえ
一柳 ひとつやなぎ
一栄 かずえい かずひで
# 一森
# 一概に
# 一様
# 一様化
一樹 かずき
一橋 ひとつばし
# 一橋大
# 一橋大学
一機 かずき
一次 かずじ
# 一次的
一正 かずまさ
一歩 かずほ
# 一段
# 一段落
一氏 かずうじ
# 一気
# 一気に
一気呵成 いっきかせい
# 一汁一菜
# 一汗
# 一泊
一泰 かずひろ かずやす
一洋 かずひろ
# 一津屋
一派 いっぱ
# 一流
一浩 かずひろ
一清 かずきよ
# 一渡り
# 一滴
一澄 かずきよ
一瀬 いちのせ
# 一点
# 一点張り
一片 いっぺん
一物 いちもつ
# 一理
# 一環
一生 かずお
# 一生懸命
# 一生涯
一産 かずもと
# 一男
# 一町田
# 一画
# 一番
# 一番ヶ瀬
# 一番乗り
一番合戦 いちまかせ
# 一発
# 一発屋
一登 かずと
# 一皮
一益 かずます
# 一目
一目惚れ ひとめぼれ
# 一目散
# 一目瞭然
一直 かずなお
# 一直線
一真 かずま
# 一眠り
# 一眼
# 一睡
# 一瞥
# 一瞬
# 一矢
# 一石
# 一石二鳥
一磨 かずま
# 一礼
# 一神教
一祥 かずよし
一秀 かずひで
# 一種
一穂 かずほ
# 一突き
一章 かずあき
一端 いっぱし
# 一笑
一筆 いっぴつ
# 一等
# 一筋
# 一筋縄
# 一策
一範 かずのり
一糸 かずし
一紀 かずき かずのり
一純 かずみ
一統 かずとう
# 一続き
# 一網打尽
# 一緒
# 一緒くた
# 一線
# 一編
一縷 いちる
一繁 かずしげ
一美 かずみ
# 一群
一義 かずよし
# 一義的
# 一翼
# 一考
# 一肌
一能 かずよし
一臣 かずおみ
一至 かずのり
# 一致
一興 かずおき
一般 いっぱん
# 一般人
# 一般化
# 一般席
# 一般性
# 一般的
# 一般紙
# 一般職
# 一般誌
# 一般語
# 一般論
# 一般道
# 一色
一芳 かずよし
# 一芸
一茂 かずしげ
# 一茶
一葉 かずよ
# 一蓮托生
# 一蝶
一行 かずゆき
一衛 かずもり
一裕 かずひろ
# 一要素
一見 いちげん
# 一覧
# 一覧表
# 一角
# 一角獣
# 一触即発
# 一言
# 一言半句
# 一計
# 一語
一誠 かずのぶ
# 一説
# 一読
# 一読者
一豊 かずとよ
# 一貫
# 一貫性
一貴 かずたか
一起 かずき かずおき
# 一足
# 一足飛び
一路 かずみち かずろ
# 一蹴
# 一躍
# 一身
# 一軍
# 一軒
# 一軒家
# 一軒屋
# 一転
一輝 かずてる
# 一輪
# 一辺
# 一辺倒
# 一迫
一途 いちず
# 一通り
# 一連
# 一週間
# 一進一退
# 一過
# 一過性
# 一郎
# 一部
# 一部分
# 一部始終
# 一郭
# 一酸化
# 一酸化炭素
# 一里塚
一重 かずしげ
# 一重まぶた
# 一重瞼
# 一鉄
# 一長一短
# 一門
# 一閃
# 一間
一関 いちのせき
# 一陣
一隆 かずたか
# 一階
# 一際
# 一隻
一雄 かずお
一雅 かずまさ
# 一難
# 一面
# 一面的
# 一頃
# 一頭
# 一題
# 一顧
一風 いっぷう
# 一首
一馬 かずま
# 一騎当千
# 一騎討ち
一高 かづたか
丁 てい ひのと ちょう
丁々発止 ちょうちょうはっし
丁子 ちょうじ
# 丁寧
# 丁寧語
# 丁度
# 丁目
丁稚 でっち
# 丁重
七 しち なな
# 七つ
# 七ヶ浜
# 七丈
七五三 なごや
七五三懸 しめかけ
七五三縄 しめなわ
# 七会
七十路 ななそじ
# 七厘
# 七呂
# 七味
# 七城
# 七塚
# 七変化
七夕 たなばた ななゆ
七宗 ひちそう
七宝 しっぽう
# 七尾
# 七山
# 七恵
七戸 しちのへ
七日 なのか
# 七曜
# 七月
# 七条
七海 ななみ
# 七瀬
七生 ななみ ななお
# 七田
# 七社
# 七美
# 七色
七転八倒 しちてんばっとう
# 七輪
# 七郎
# 七里
# 七重
# 七野
# 七難
# 七面鳥
七飯 ななえ
# 七香
万 まん よろず ばん
# 万が一
# 万一
# 万丈
# 万事
# 万事休す
万二 まんじ
# 万人
# 万作
# 万全
# 万円
# 万力
万博 ばんぱく
万友美 まゆみ
万右衛門 まんえもん
# 万吉
# 万国
# 万国旗
# 万城
# 万城目
# 万場
万大 かずひろ
# 万太郎
万希子 まきこ
# 万年筆
# 万年雪
万引き まんびき
万恵美 まえみ
# 万感
万智 まち
# 万有
# 万有引力
万木 ゆるぎ
万梨阿 まりあ
# 万歩計
万歳 ばんざい
# 万死
# 万民
# 万治
万澄 ますみ
# 万物
万理子 まりこ
万由香 まゆか
# 万端
万紀子 まきこ
万美 まみ
# 万能
# 万能薬
万華鏡 まんげきょう
万葉 まは
万葉仮名 まんようがな
# 万葉集
# 万蔵
万規人 まきと
万規子 まきこ
万貴 まき
万遍な まんべんな
万里 まり
# 万里子
万里栄 まりえ
# 万障
# 万難
# 万雷
丈 たけ じょう たけし
丈二 じょうじ
丈人 たけと
丈仁 たけひと
# 丈介
# 丈典
# 丈勝
丈史 ともふみ
# 丈司
# 丈嗣
# 丈士
# 丈太郎
丈夫 じょうぶ ますらお
丈師 たけのり
# 丈志
丈晴 たけはる
丈治 ともはる
丈生 たけお
# 丈裕
# 丈雄
三 さん み みつ
# 三が日
# 三すくみ
三つ みっつ
三つ子 みつご
三つ巴 みつどもえ
# 三つ折り
# 三つ指
# 三つ揃え
# 三つ編み
三つ葉 みつば
# 三の宮
三ッ木 みつぎ
# 三ツ木
# 三ツ橋
# 三ツ谷
# 三ノ宮
三ヶ日 みっかび
三三男 みさお
# 三上
# 三下り半
# 三中西
三五月 もちづき
三井 やすひろ
# 三井楽
# 三交代
# 三人
# 三人称
# 三代川
三位 さんみ
三保ケ関 みほがせき
# 三保子
# 三俣
三光 みてる
三刀屋 みとや
# 三分
# 三分一
三剛 みつたか
# 三加和
# 三加茂
# 三十五
三十路 みそじ
# 三千代
# 三千夫
# 三千男
三千繪 みちえ
# 三千雄
# 三半規管
# 三原
# 三友
三反園 みたぞの
# 三古谷
三右衛門 さんえもん
# 三吉
三味 しゃみ
# 三味線
# 三和
# 三和子
# 三品
# 三唱
# 三善
# 三喜
# 三喜男
# 三四郎
# 三回
# 三国
# 三国志
# 三國
# 三坂
# 三基
# 三堀
# 三塚
# 三太夫
# 三夫
# 三奈
# 三奈子
# 三女
# 三好
# 三子
三宅 みやけ
三守 ただもり
三宝 さんぽう
# 三室
三宮 さんのみや
# 三宿
# 三富
# 三寒四温
# 三寺
# 三小田
# 三尾
# 三屋
# 三山
# 三岳
# 三島
# 三崎
# 三嶋
# 三川
# 三希子
三平 さんぺい
# 三度
# 三徳
# 三恵子
三成 みつなり みなり
三戸 さんのへ
# 三振
# 三文判
# 三方
三日 みっか
# 三日市
# 三日月
# 三星
# 三春
三昧 ざんまい
三晴 みつはる
# 三智子
# 三月
三朗 さぶろう
三朝 みささ
# 三期
# 三木
# 三木元
# 三木田
# 三本
# 三本木
# 三本松
# 三本立て
# 三杉磯
# 三杉里
# 三村
# 三条
# 三東
# 三林
# 三枚
三枝 さいぐさ さえぐさ
# 三枝子
# 三栄
# 三栖
# 三栗谷
# 三根
# 三根山
# 三條
# 三森
三椏 みつまた
# 三楽斎
# 三権
# 三樹
# 三樹夫
# 三樹男
# 三橋
三次 みよし
# 三段腹
# 三毛
三水 さみず
# 三池
# 三沢
# 三河
# 三波
# 三洋
# 三津
# 三津子
# 三津義
# 三流
# 三浦
# 三清
三渕 みぶち
# 三澤
三瀦 みずま
# 三瀬
# 三熊
# 三玉
# 三珠
三瓶 さんぺい さんぺ
# 三甘
# 三田
# 三田川
# 三田村
# 三男
三界 さんがい
# 三番
# 三畳紀
# 三登
# 三省堂
# 三矢
# 三石
三砂 みさご
# 三神
# 三穂
# 三穂子
# 三竿
# 三笠
三笠宮 みかさのみや
